customer_id,customer_name,email,phone
201,Philip Duncan,pduncan@gmail.com,(512) 422-4713
856,Patrick Fixler,pfixler@gmail.com,(940) 636-3638
184,Obaid Friis,ofriis@gmail.com,(817) 832-5181
1000,Nicolas Gautam,ngautam@gmail.com,(241) 739-5600
563,Nashat Goswamy,ngoswamy@gmail.com,(713) 301-7075
855,Miho Grobe,mgrobe@gmail.com,(214) 460-5773
517,Michael Gupta,mgupta@gmail.com,(214) 356-4304
565,Matthew Hertzer,mhertzer@gmail.com,(972) 245-1972
104,Marshall Hoisington,mhoisington@gmail.com,(512) 459-6353
558,Youngjin Ahn,yahn@gmail.com,(972) 464-6098
688,Ying Altmann,yaltmann@gmail.com,(956) 542-4996
957,Yanwen Aurori,yaurori@gmail.com,(956) 412-3223
838,Won Barnes,wbarnes@gmail.com,(956) 412-3223
645,Vivek Beistegui,vbeistegui@gmail.com,(972) 943-8633
691,Timothy Bolton,tbolton@gmail.com,(281) 332-8224
802,Ted Brown,tbrown@gmail.com,(210) 391-4401
185,Tae Carrillo,tcarrillo@gmail.com,(512) 847-5678
750,Steven Chan,schan@gmail.com,(512) 635-8576
479,Shiv Chayet,schayet@gmail.com,(713)927-2776
109,Sevag Chen,schen@gmail.com,(214) 682-5878
486,Sang Chou,schou@gmail.com,(512) 461-1419
956,Ryan Clark,rclark@gmail.com,(210) 365-6003
930,Rodriguez Crabtree,rcrabtree@gmail.com,(214) 460-5773
527,Robert Davidowitz,rdavidowitz@gmail.com,(214) 356-4305
849,Radu Donahue,rdonahue@gmail.com,(972) 245-1973
944,Peter Erickson,perickson@gmail.com,(512) 459-6354
869,Patino Forsyth,pforsyth@gmail.com,(972) 464-6092
769,Noel Gambino,ngambino@gmail.com,(956) 542-4993
841,Negrin Gee,ngee@gmail.com,(956) 412-3226
881,Muge Graves,mgraves@gmail.com,(956) 412-3221
866,Michael Guerra,mguerra@gmail.com,(214) 460-5772
803,Matthew Hagiwara,mhagiwara@gmail.com,(214) 356-4300
692,Massimo Himmelfarb,mhimmelfarb@gmail.com,(972) 245-1972
162,Marissa Holzman,mholzman@gmail.com,(210) 391-4407
728,Yu Ahn,yahn@gmail.com,(512) 847-5676
159,Yi-Feng Alvarez,yalvarez@gmail.com,(512) 635-8577
969,Yan Austin,yaustin@gmail.com,(713)927-2770
222,William Barrett,wbarrett@gmail.com,(214) 682-5871
661,Viacheslav Benchimol,vbenchimol@gmail.com,(512) 461-1412
850,Tiffanie Bosson,tbosson@gmail.com,(210) 365-6005
572,Thanadtha Brown,tbrown@gmail.com,(713)927-2774
513,Tadamitsu Carrow,tcarrow@gmail.com,(214) 682-5872
964,Sompop Chang,schang@gmail.com,(512) 461-1422
356,Shannon Cheesebro,scheesebro@gmail.com,(210) 365-6003
798,Scott Cheng,scheng@gmail.com,(972) 245-1971
870,Sangjo Chou,schou@gmail.com,(512) 459-6355
640,Sachie Clark,sclark@gmail.com,(972) 464-6099
743,Robert Crunelle,rcrunelle@gmail.com,(956) 542-4999
635,Rikin Davis,rdavis@gmail.com,(956) 412-3223
687,Preston Doorey,pdoorey@gmail.com,(956) 412-3223
169,Peter Espinosa,pespinosa@gmail.com,(972) 943-8633
686,Pallavi Fox,pfox@gmail.com,(281) 332-8224
607,Nicole Gao,ngao@gmail.com,(210) 391-4403
343,Nawaz Georges,ngeorges@gmail.com,(512) 847-5672
374,Montero Greene,mgreene@gmail.com,(512) 635-8574
885,Michael Guill,mguill@gmail.com,(713)927-2776
466,Matthew Hanan,mhanan@gmail.com,(214) 682-5878
285,Masayoshi Ho,mho@gmail.com,(512) 461-1414
908,Maria Hong,mhong@gmail.com,(210) 365-6004
438,Zorina Abreu,zabreu@gmail.com,(214) 682-5876
